pertanyaan,jawaban
apa isi dari pasal 155 ayat (0) huruf c,isi dari pasal tersebut adalah: tidak dapat menggunakan lagi salah satu panca indera atau salah satu anggota tubuh;
apa isi dari pasal 155 ayat (0) huruf d,isi dari pasal tersebut adalah: cacat berat atau cacat permanen;
apa isi dari pasal 155 ayat (0) huruf e,isi dari pasal tersebut adalah: lumpuh;
apa isi dari pasal 155 ayat (0) huruf f,isi dari pasal tersebut adalah: daya pikir terganggu selama lebih dari 4 (empat) minggu;
apa isi dari pasal 155 ayat (0) huruf g,isi dari pasal tersebut adalah: gugur atau matinya kandungan; atau
apa isi dari pasal 155 ayat (0) huruf h,isi dari pasal tersebut adalah: rusaknya fungsi reproduksi.
apa isi dari pasal 156 ayat (0) huruf 0,"isi dari pasal tersebut adalah: kekerasan adalah setiap perbuatan dengan atau tanpa menggunakan kekuatan fisik yang menimbulkan bahaya bagi badan atau nyawa, mengakibatkan penderitaan fisik, seksual, atau psikologis, dan merampas kemerdekaan, termasuk menjadikan orang pingsan atau tidak berdaya."
apa isi dari pasal 157 ayat (0) huruf 0,"isi dari pasal tersebut adalah: ancaman kekerasan adalah setiap perbuatan berupa ucapan, tulisan, gambar, simbol, atau gerakan tubuh, baik dengan maupun tanpa menggunakan sarana dalam bentuk elektronik atau nonelektronik yang dapat menimbulkan rasa takut, cemas, atau khawatir akan dilakukannya kekerasan."
apa isi dari pasal 158 ayat (0) huruf 0,"isi dari pasal tersebut adalah: di muka umum adalah di suatu tempat atau ruang yang dapat dilihat, didatangi, diketahui, atau disaksikan oleh orang lain baik secara langsung maupun secara tidak langsung melalui media elektronik yang membuat publik dapat mengakses informasi elektronik atau dokumen elektronik"
apa isi dari pasal 159 ayat (0) huruf 0,"isi dari pasal tersebut adalah: harta kekayaan adalah benda bergerak atau benda tidak bergerak, baik yang berwujud maupun yang tidak berwujud, yang memiliki nilai ekonomi."
apa isi dari pasal 160 ayat (0) huruf 0,isi dari pasal tersebut adalah: makar adalah niat untuk melakukan serangan yang telah diwujudkan dengan persiapan perbuatan tersebut.
apa isi dari pasal 161 ayat (0) huruf 0,isi dari pasal tersebut adalah: perang adalah termasuk juga perang saudara dengan mengangkat senjata
apa isi dari pasal 162 ayat (0) huruf 0,isi dari pasal tersebut adalah: waktu perang adalah termasuk waktu di mana bahaya perang mengancam dan/atau ada perintah untuk mobilisasi tentara nasional indonesia dan selama keadaan mobilisasi tersebut masih berlangsung.
apa isi dari pasal 163 ayat (0) huruf 0,isi dari pasal tersebut adalah: musuh adalah termasuk juga pemberontak dan negara atau kekuasaan yang diperkirakan akan menjadi lawan perang.
apa isi dari pasal 164 ayat (0) huruf 0,isi dari pasal tersebut adalah: masuk adalah termasuk mengakses komputer atau masuk ke dalam sistem komputer
apa isi dari pasal 165 ayat (0) huruf 0,"isi dari pasal tersebut adalah: memanjat adalah termasuk masuk dengan melalui lubang yang sudah ada tetapi tidak untuk tempat orang lewat, atau masuk melalui lubang dalam tanah yang sengaja digali, atau masuk melalui atau menyeberangi selokan atau parit yang gunanya sebagai pembatas halaman."
apa isi dari pasal 166 ayat (0) huruf 0,"isi dari pasal tersebut adalah: anak kunci palsu adalah anak kunci duplikat termasuk juga segala perkakas, sistem elektronik, atau yang disamakan dengan itu yang tidak dimaksudkan untuk membuka kunci yang digunalan untuk membuka kunci"
apa isi dari pasal 167 ayat (0) huruf 0,isi dari pasal tersebut adalah: ruang adalah termasuk bentangan atau terminal komputer yang dapat diakses dengan cara tertentu.
apa isi dari pasal 168 ayat (0) huruf 0,"isi dari pasal tersebut adalah: bangunan listrik adalah bangunan yang digunakan untuk membangkitkan, mengalirkan, mengubah, atau menyerahkan tenaga listrik, termasuk alat yang berhubungan dengan itu, yaitu alat penjaga keselamatan, alat pemasang, alat pendukung, alat pencegah, atau alat pemberi peringatan."
apa isi dari pasal 169 ayat (0) huruf 0,"isi dari pasal tersebut adalah: komputer adalah alat untuk memproses data elektronik, magnetik, optikal, atau sistem yang melaksanakan fungsi logika, aritmatika, dan penyimpanan."
apa isi dari pasal 170 ayat (0) huruf 0,"isi dari pasal tersebut adalah: informasi elektronik adalah satu atau sekumpulan data elektronik, termasuk tetapi tidak terbatas pada tulisan, suara, gambar, peta, rancangan, foto, mempertukarkan data secara elektronik, surat elektronik, telegram, pengkopian jarakjauh atau sejenisnya, huruf, tanda, angka, kode akses, simbol, atau perforasi yang telah diolah yang memiliki arti atau dapat dipahami oleh orang yang mampu memahaminya."
apa isi dari pasal 171 ayat (0) huruf 0,"isi dari pasal tersebut adalah: kode akses adalah angka, huruf, simbol lainnya atau kombinasi diantaranya yang merupakan kunci untuk dapat mengakses komputer, jaringan komputer, internet, atau media elektronik lainnya."
apa isi dari pasal 172 ayat (0) huruf 0,"isi dari pasal tersebut adalah: pornografi adalah gambar, sketsa, ilustrasi, foto, suara, bunyi, gambar bergerak, animasi, kartun, percakapan, gerak tubuh, atau bunyi pesan lainnya melalui berbagai bentuk media komunikasi dan/atau pertunjukan di muka umum, yang memuat kecabulan atau eksploitasi seksual yang melanggar norma kesusilaan dalam masyarakat."
apa isi dari pasal 173 ayat (0) huruf 0,isi dari pasal tersebut adalah: pengusaha adalah orang yang menjalankan perusahaan atau usaha dagang.
apa isi dari pasal 174 ayat (0) huruf 0,"isi dari pasal tersebut adalah: kapal adalah kendaraan air dengan bentuk dan jenis apa pun, yang digerakkan dengan tenaga mekanik, tenaga angin, atau ditunda, termasuk kendaraan yang berdaya dukung dinamis, kendaraan di bawah permukaan air, serta alat apung dan bangunan terapung yang tidak berpindah pindah"
apa isi dari pasal 175 ayat (0) huruf 0,isi dari pasal tersebut adalah: penumpang adalah orang selain nakhoda dan anak buah kapal yang berada di kapal atau orang selain kapten penerbang dan awak pesawat udara lain yang berada dalam pesawat udara.
apa isi dari pasal 176 ayat (0) huruf 0,isi dari pasal tersebut adalah: anak buah ihpal adalah awak kapal selain nakhoda.
apa isi dari pasal 177 ayat (0) huruf 0,isi dari pasal tersebut adalah: awak ikpal adalah orurng yang bekerja atau dipeke{akan di atas kapal oleh pemilik atau operator kapal yang melakukan tugas di atas kapal sesuai dengan jabatannya.
apa isi dari pasal 178 ayat (0) huruf 0,isi dari pasal tersebut adalah: kapal indonesia adalah kapal yang didaftar di indonesia dan memperoleh surat tanda kebangsaan kapal indonesia sesuai dengan ketentuan peraturan perundang-undangan.
apa isi dari pasal 179 ayat (0) huruf 0,isi dari pasal tersebut adalah: nakhoda adalah salah seorang awak kapal yang menjadi pemimpin tertinggi di kapal dan mempunyai wewenang dan tanggung jawab tertentu sesuai dengan ketentuan peraturan perundang-undangan.
apa isi dari pasal 180 ayat (0) huruf 0,"isi dari pasal tersebut adalah: pesawat udara adalah setiap mesin atau alat yang dapat terbang di atmosfer karena gaya angkat dari reaksi udara, tetapi bukan karena reaksi udara terhadap permukaan bumi yang digunakan untuk penerbangan."
apa isi dari pasal 181 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dalam penerbangan adalah jangka waktu sejak saat semua pintu luar pesawat udara ditutup setelah naiknya penumpang sampai saat pintu dibuka untuk penurunan penumpang, atau dalam hal terjadi pendaratan darurat penerbangan dianggap terus berlangsung sampai saat penguasa yang berwenang mengambil alih tanggung jawab atas pesawat udara dan barang yang ada di dalam pesawat udara."
apa isi dari pasal 182 ayat (0) huruf 0,isi dari pasal tersebut adalah: dalam dinas penerbangan adalah jangka waktu sejak saat pesawat udara disiapkan oleh awak darat atau oleh awak pesawat untuk penerbangan tertentu sampai lewat 24 (dtua puluh empat) jam sesudah pendaratan.
apa isi dari pasal 183 ayat (0) huruf 0,isi dari pasal tersebut adalah: ternak adalah hewan peliharaan yang dipenrntukkan sebagai sumber pangan dan sumber mata pencaharian.
apa isi dari pasal 184 ayat (0) huruf 0,isi dari pasal tersebut adalah: bulan adalah waktu 30 (tiga puluh) hari.
apa isi dari pasal 185 ayat (0) huruf 0,isi dari pasal tersebut adalah: hari adalah waktu selama 24 (&ta puluh empat) jam.
apa isi dari pasal 186 ayat (0) huruf 0,isi dari pasal tersebut adalah: malam adalah waktu di antara matahari terbenam dan matahari terbit.
apa isi dari pasal 187 ayat (0) huruf 0,"isi dari pasal tersebut adalah: ketentuan dalam bab i sampai dengan bab v buku kesatu berlaku juga bagi perbuatan yang dapat dipidana menurut peraturan perundang-undangan lain, kecuali ditentukan lain menurut undang-undang."
apa isi dari pasal 188 ayat (1) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang menyebarkan dan mengembangkan ajaran komunisme/marxisme-leninisme atau paham lain yang bertentangan dengan pancasila di muka umum dengan lisan atau tulisan termasuk menyebarkan atau mengembangkan melalui media apa pun, dipidana dengan pidana penjara paling lama 4 (empat) tahun."
apa isi dari pasal 188 ayat (2) huruf 0,"isi dari pasal tersebut adalah: dalam hal perbuatan sebagaimana dimaksud pada ayat (1) dilakukan dengan maksud mengubah atau mengganti pancasila sebagai dasar negara, dipidana dengan pidana penjara paling lama 7 (tujuh) tahun."
apa isi dari pasal 188 ayat (3) huruf 0,"isi dari pasal tersebut adalah: dalam hal perbuatan sebagaimana dimaksud pada ayal (1) atau ayat (2) mengakibatkan terjadinya kerusuhan dalam masyarakat atau kerugian harta kekayaan, dipidana dengan pidana penjara paling lama l0 (sepuluh) tahun."
apa isi dari pasal 188 ayat (4) huruf 0,"isi dari pasal tersebut adalah: dalam hal perbuatan sebagaimana dimaksud pada ayat (3) mengakibatkan orang menderita luka berat, dipidana dengan pidana penjara paling lama 12 (dua belas) tahun"
apa isi dari pasal 188 ayat (5) huruf 0,"isi dari pasal tersebut adalah: dalam hal perbuatan sebagaimana dimaksud pada ayat (3) mengakibatkan matinya orang, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 188 ayat (6) huruf 0,isi dari pasal tersebut adalah: tidak dipidana orang yang melakukan kajian terhadap ajaran komunisme/marxisme-leninisme atau paham lain yang bertentangan dengan pancasila untuk kepentingan ilmu pengetahuan.
apa isi dari pasal 189 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dipidana dengan pidana penjara paling lama 10 (sepuluh) tahun, setiap orang yang:"
apa isi dari pasal 189 ayat (0) huruf a,isi dari pasal tersebut adalah: mendirikan organisasi yang diketahui atau patut diduga menganut ajaran komunisme/ marxisme-leninisme atau paham lain yang bertentangan dengan pancasila; atau
apa isi dari pasal 189 ayat (0) huruf b,"isi dari pasal tersebut adalah: mengadakan hubungan dengan atau memberikan bantuan kepada atau menerima bantuan dari organisasi, baik di dalam maupun di luar negeri, yang sepatutnya diketahui menganut ajaran komunisme/marxisme-leninisme atau paham lain yang bertentangan dengan pancasila, dengan maksud mengubah dasar negara atau menggulingkan pemerintah."
apa isi dari pasal 190 ayat (1) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang menyatakan keinginannya di muka umum dengan lisan, tulisan, atau melalui media apa pun untuk meniadakan atau mengganti pancasila sebagai dasar negara, dipidana dengan pidana penjara paling lama 5 (lima) tahun."
apa isi dari pasal 190 ayat (2) huruf 0,isi dari pasal tersebut adalah: dalam hal perbuatan sebagaimana dimaksud pada ayat (l) mengakibatkan:
apa isi dari pasal 190 ayat (2) huruf a,"isi dari pasal tersebut adalah: terjadinya kerusuhan dalam masyarakat atau timbulnya kerugian harta kekayaan, dipidana dengan pidana penjara paling lama 1o (sepuluh) tahun;"
apa isi dari pasal 190 ayat (2) huruf b,"isi dari pasal tersebut adalah: terjadinya kerusuhan dalam masyarakat yang mengalibatkan orang menderita luka berat, dipidana dengan pidana penjara paling lama 12 (dua belas) tahun; atau"
apa isi dari pasal 190 ayat (2) huruf c,"isi dari pasal tersebut adalah: terjadinya kerusuhan dalam masyarakat yang mengakibatkan matinya orang, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 191 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan makar dengan maksud membunuh atau merampas kemerdekaan presiden dan/ atau wakil presiden atau menjadikan presiden dan/ atau wakil presiden tidak mampu menjalankan pemerintahan, dipidana dengan pidana mati, pidana penjara seumur hidup, atau pidana penjara paling lama 2o (dua puluh) tahun."
apa isi dari pasal 192 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan makar dengan maksud supaya sebagian atau seluruh wilayah negara kesatuan republik indonesia jatuh kepada kekuasaan asing atau untuk memisahkan diri dari negara kesatuan republik indonesia, dipidana dengan pidana mati, pidana penjara seumur hidup, atau pidana penjara paling lama 20 (dua puluh) tahun."
apa isi dari pasal 193 ayat (1) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan makar dengan maksud menggulingkan pemerintah, dipidana dengan pidana penjara paling lama 12 (dua belas) tahun."
apa isi dari pasal 193 ayat (2) huruf 0,"isi dari pasal tersebut adalah: pemimpin atau pengatur makar sebagaimana dimaksud pada ayat (1), dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 194 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dipidana karena pemberontakan dengan pidana penjara paling lama 15 (lima belas) tahun, setiap orang yang:"
apa isi dari pasal 194 ayat (1) huruf a,isi dari pasal tersebut adalah: melawan pemerintah dengan menggunakan kekuatan senjata; atau
apa isi dari pasal 194 ayat (1) huruf b,isi dari pasal tersebut adalah: dengan maksud untuk melawan pemerintah bergerak bersama-sama atau menyatukan diri dengan gerombolan yang melawan pemerintah dengan menggunakan kekuatan senjata.
apa isi dari pasal 194 ayat (2) huruf 0,"isi dari pasal tersebut adalah: pemimpin atau pengatur pemberontakan sebagaimana dimaksud pada ayat (1), dipidana dengan pidana penjara seumur hidup atau pidana penjara paling lama 20 (dua puluh) tahun."
apa isi dari pasal 195 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dipidana dengan pidana penjara paling lama 1o (sepuluh) tahun, setiap orang yang:"
apa isi dari pasal 195 ayat (1) huruf a,"isi dari pasal tersebut adalah: mengadakan hubungan dengan orang atau organisasi yang berkedudukan di luar negeri dengan maksud: 1. membujuk orang atau organisasi; 2. memperkuat niat dari orang atau organisasi; 3. menjanjikan atau memberikan bantuan kepada orang atau organisasi; atau 4. memasukkan suatu barang ke wilayah negara kesatuan republik indonesia, untuk menggulingkan atau mengambil alih pemerintah;"
apa isi dari pasal 195 ayat (1) huruf b,"isi dari pasal tersebut adalah: memasukkan suatu barang ke wilayah negara kesatuan republik indonesia yang dapat dipergunalan untuk memberikan bantuan materiel dalam mempersiapkan, memudahkan, atau melakukan penggulingan dan/atau pengambilalihan pemerintah, padahal diketahui atau ada alasan yang kuat untuk menduga bahwa barang tersebut digunakan untuk maksud tersebut; atau"
apa isi dari pasal 195 ayat (1) huruf c,"isi dari pasal tersebut adalah: menguasai atau menjadikan suatu barang sebagai pokok perjanjian yang dapat digunakan untuk memberikan bantuan materiel dalam mempersiapkan, memudahkan, atau melakukan penggulingan dan/atau pengambilalihan pemerintah, padahal mengetahui atau ada alasan yang kuat untuk menduga bahwa barang tersebut digunakan untuk maksud tersebut, atau barang lain sebagai penggantinya dimasukkan ke wilayah negara kesatuan republik indonesia untuk maksud tersebut, atau digunakan untuk maksud tersebut oleh orang atau badan yang berkedudukan di luar negeri."
apa isi dari pasal 195 ayat (2) huruf 0,isi dari pasal tersebut adalah: barang yang digunakan untuk melakukan atau yang berhubungan dengan tindak pidana sebagaimana dimaksud pada ayat (1) huruf b dan huruf c dirampas untuk negara atau dimusnahkan.
apa isi dari pasal 196 ayat (1) huruf 0,isi dari pasal tersebut adalah: setiap orang yang melakukan permufakatan jahat atau persiapan untuk melakukan tindak pidana sebagaimana dimaksud dalam pasal 191 sampai dengan pasal 194 dipidana.
apa isi dari pasal 196 ayat (2) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang mempersiapkan perubahan ketatanegaraan secara konstitusional, tidak dipidana."
apa isi dari pasal 197 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang tanpa wewenang membuat, mengumpulkan, ffi€mpunyai, menyimpan, menyembunyikan, atau mengangkut gambar potret, gambar lukis, gambar tangan, atau video pengukuran, penulisan, keterangan, atau petunjuk lain mengenai suatu hal yang bersangkutan dengan kepentingan pertahanan negara, dipidana dengan pidana penjara paling lama 2 (dua) tahun atau pidana denda paling banyak kategori iv."
apa isi dari pasal 198 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang ditugaskan oleh pemerintah indonesia untuk mengadakan perundingan dengan negara asing bertindak merugikan pertahanan negara, dipidana dengan pidana penjara paling lama 12 (dua belas) tahun."
apa isi dari pasal 199 ayat (1) huruf 0,"isi dari pasal tersebut adalah: setiap warga negara indonesia yang ikut serta melakukan perang atau latihan militer atau bergabung dalam suatu organisasi tertentu untuk melakukan perang atau latihan militer di luar negeri, dipidana dengan pidana penjara paling lama 6 (enam) tahun."
apa isi dari pasal 199 ayat (2) huruf 0,isi dari pasal tersebut adalah: ketentuan sebagaimana dimaksud pada ayat (1) tidak berlaku bagi anggota tentara nasional indonesia dan kepolisian negara republik indonesia yang mendapat persetujuan pemerintah indonesia.
apa isi dari pasal 200 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dipidana dengan pidana penjara palin glama 7 (tqiuh) tahun, setiap orang yang:"
apa isi dari pasal 200 ayat (0) huruf a,"isi dari pasal tersebut adalah: dalam suatu perang yang tidak melibatkan indonesia, melakukan perbuatan yang membahayakan sikap kenetralan negara atau melanggar suatu peraturan yang khusus dibuat oleh pemerintah indonesia untuk menjaga kenetralan negara; atau"
apa isi dari pasal 200 ayat (0) huruf b,"isi dari pasal tersebut adalah: dalam waktu perang, melanggar suatu peraturan yang dikeluarkan dan diumumkan oleh pemerintah indonesia untuk kepentingan pertahanan keamanan negara."
apa isi dari pasal 201 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang tanpa izin presiden atau pejabat yang diberi wewenang, mengajak warga negara indonesia untuk menjadi anggota tentara asing, dipidana dengan pidana penjara paling lama 2 (dua) tahun atau pidana denda paling banyak kategori iii."
apa isi dari pasal 202 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dipidana dengan pidana penjara paling lama 1 (satu) tahun 6 (enam) bulan atar pidana denda paling banyak kategori ll, setiap orang yang tanpa wewenang:"
apa isi dari pasal 202 ayat (0) huruf a,"isi dari pasal tersebut adalah: memasuki wilayah yang sedang dibangun untuk keperluan pertahanan keamanan negara dalam jarak kurang dari 500 (lima ratus) meter, kecuali pada jalan besar untuk lalu lintas umum;"
apa isi dari pasal 202 ayat (0) huruf b,"isi dari pasal tersebut adalah: memasuki bangunan angkatan darat, angkatan laut, atau angkatan udara, serta pesawat udara atau kapal perang melalui jalan lain dari jalan masuk biasa;"
apa isi dari pasal 202 ayat (0) huruf c,isi dari pasal tersebut adalah: membawa alat pemotret ke dalam suatu bagian lapangan yang dilarang oleh ketentuan peraturan perundang-undangan; atau
apa isi dari pasal 202 ayat (0) huruf d,"isi dari pasal tersebut adalah: mempunyai hasil pemotretan, gambar, atau uraian dari proyek pertahanan keamanan negara dari seluruh atau sebagian lapangan sebagaimana dimaksud dalam huruf c."
apa isi dari pasal 203 ayat (1) huruf 0,"isi dari pasal tersebut adalah: dipidana  dengan  pidana  penjara  paling  lama 12 (dua belas) tahun, setiap orang yang:"
apa isi dari pasal 203 ayat (1) huruf a,isi dari pasal tersebut adalah: mengadakan hubungan dengan negara asing atau organisasi asing dengan maksud menggerakkannya untuk melakukan perbuatan permusuhan atau perang dengan negara kesatuan republik indonesia;
apa isi dari pasal 203 ayat (1) huruf b,isi dari pasal tersebut adalah: memperkuat niat negara asing atau organisasi asing tersebut untuk melakukan perbuatan sebagaimana dimaksud dalam huruf a; atau
apa isi dari pasal 203 ayat (1) huruf c,isi dari pasal tersebut adalah: menjanjikan bantuan atau membantu negara asing atau organisasi asing mempersiapkan perbuatan sebagaimana dimaksud dalam huruf a.
apa isi dari pasal 203 ayat (2) huruf 0,"isi dari pasal tersebut adalah: jika perbuatan permusohan sebagaimana dimaksud pada ayat (1) mengakibatkan terjadinya perang, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 204 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang mengumumkan, memberitahukan, atau memberikan surat, berita, atas keterangan mengenai suatu hal kepada negara asing atau organisasi asing, padahal orang tersebut mengetahui bahwa hal tersebut harus dirahasiakan untuk kepentingan negara, dipidana dengan pidana penjara paling lama 7 (tujuh) tahun."
apa isi dari pasal 205 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang mengumumkan, memberitahukan, atau memberikan kepada orang yang tidak berhak mengetahui seluruh atau sebagian surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara yang berhubungan dengan pertahanan dan keamanan negara terhadap serangan dari luar, yang ada padanya, atau yang diketahuinya mengenai isi, bentuk, atau cara membuat barang rahasia tersebut, dipidana dengan pidana penjara paling lama 5 (lima) tahun."
apa isi dari pasal 206 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dipidana dengan pidana penjara paling lama 2 (dua) tahun atau pidana denda paling banyak kategori iv, setiap orang yang:"
apa isi dari pasal 206 ayat (0) huruf a,"isi dari pasal tersebut adalah: memberikan fasilitas kepada orang yang diketahuinya tidak mempunyai wewenang, mempunyai niat atau sedang mencoba untuk mengetahui seluruh atau sebagian surat, pela bumi, rencana, gambar, atau barang yang bersifat rahasia negara sebagaimana yang dimaksud dalam pasal 205 atau untuk mengetahui letak, bentuk, susunan persenjataan, perbekalan, perlengkapan amunisi atau kekuatan orang dari proyek pertahanan negara atau suatu ha1 lain yang bersangkutan dengan kepentingan pertahanan negara; atau"
apa isi dari pasal 206 ayat (0) huruf b,isi dari pasal tersebut adalah: menyembunyikan barang yang diketahuinya akan digunakan untuk melakukan perbuatan sebagaimana dimaksud dalam huruf a.
apa isi dari pasal 207 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang karena tugasnya wajib menyimpan surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara sebagaimana dimaksud dalam pasal 205, karena kealpaannya menyebabkan isi, bentuk, atau cara membuatnya, seluruh atau sebagian diketahui oleh orang lain yang tidak berhak mengetahuinya, dipidana dengan pidana penjara paling lama 1 (satu) tahun 6 (enam) bulan."
apa isi dari pasal 208 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dipidana dengan pidana penjara paling lama 4 (empat) tahun, setiap orang yang:"
apa isi dari pasal 208 ayat (0) huruf a,"isi dari pasal tersebut adalah: melihat atau mempelajari surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara sebagaimana dimaksud dalam pasal 205, seluruh atau sebagian yang diketahuinya atau patut diduga bahwa surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara tersebut tidak boleh diketahuinya;"
apa isi dari pasal 208 ayat (0) huruf b,"isi dari pasal tersebut adalah: membuat atau meminta membuat cetakan, gambar, atau tiruan dari surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara sebagaimana dimaksud dalam huruf a; atau"
apa isi dari pasal 208 ayat (0) huruf c,"isi dari pasal tersebut adalah: tidak menyerahkan surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara tersebut kepada pejabat yang berwenang padahal surat, peta bumi, rencana, gambar, atau barang yang bersifat rahasia negara tersebut jatuh ke tangannya."
apa isi dari pasal 209 ayat (0) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang melakukan tindak pidana sebagaimana dimaksud dalam pasal 197, pasal 202, pasal 205, pasal 200, atau pasal 208 dengan mempergunakan cara curang atau dilakukan dengan cara memberi atau menerima, menimbulkan harapan, atau menjanjikan hadiah, keuntungan, atau upah dalam bentuk apa pun juga atau dilakukan dengan kekerasan atau ancaman kekerasan, dipidana 2 (dua) kali lipat dari pidana sebagaimana dimaksud dalam pasal 197, pasal 202, pasal 205, pasal 206, atau pasal 208."
apa isi dari pasal 210 ayat (0) huruf 0,"isi dari pasal tersebut adalah: dipidana karena sabotase dengan pidana penjara paling lama 15 (lima belas) tahun, setiap orang yang:"
apa isi dari pasal 210 ayat (0) huruf a,"isi dari pasal tersebut adalah: merusak, menghancurkan, membuat tidak dapat dipakai, atau memusnahkan instalasi negara atau instalasi militer;"
apa isi dari pasal 210 ayat (0) huruf b,isi dari pasal tersebut adalah: menghalangi atau menggagalkan pengadaan atau distribosi bahan pokok yang menguasai hajat hidup orang banyak sesuai dengan kebijakan pemerintah; atau
apa isi dari pasal 210 ayat (0) huruf c,"isi dari pasal tersebut adalah: mengganggu atau merusak secara luas perhubungan darat, laut, udara, atau telekomunikasi."
apa isi dari pasal 211 ayat (0) huruf 0,"isi dari pasal tersebut adalah: warga negara indonesia yang dengan sukarela menjadi tentara asing yang sedang berperang dengan negara kesatuan republik indonesia atau kemungkinan akan menghadapi perang dengan negara kesatuan republik indonesia, dan jika perang benar-benar terjadi, dipidana dengan pidana penjara paling lama 15 (lima belas) tahun."
apa isi dari pasal 212 ayat (1) huruf 0,"isi dari pasal tersebut adalah: setiap orang yang dalam waktu perang memberi bantuan kepada musuh atau merugikan negara untuk kepentingan musuh, dipidana dengan pidana penjara paling lama 12 (dua belas) tahun."
apa isi dari pasal 212 ayat (2) huruf 0,"isi dari pasal tersebut adalah: (2)	dipidana  dengan  pidana   penjara  paling   lama
15 (lima belas) tahun, setiap orang sebagaimana dimaksud pada ayat (1), yang:
"
apa isi dari pasal 212 ayat (2) huruf a,"isi dari pasal tersebut adalah: memberitahukan atau menyerahkan peta, rencana, gambar, atau uraian dari bangunan tentara atau keterangan tentang gerakan tentara atau rencana tentara kepada musuh; atau"
apa isi dari pasal 212 ayat (2) huruf b,"isi dari pasal tersebut adalah: 1. memiliki, menguasai, atau memperoleh dengan maksud untuk meneruskannya baik langsung maupun tidak langsung kepada musoh negara kesafiuan republik indonesia, sesuatu peta, rancangan, gambar, atau tulisan tentang bangunan militer atau rahasia militer ataupun keterangan tentang rahasia pemerintah dalam bidang politik, diplomasi, atau ekonomi;
2. melakukan penyelidikan untuk musuh
sebagaimana dimaksud dalam humf a atau menerima dalam pemondokan, menyembunyikan, atau menolong seorang penyelidik musuh;
3. mengadakan,  memudahkan,  atau  menyebarkan
propaganda untuk musuh;
4. melakukan sesuatu usaha yang bertentangan
dengan kepentingan negara sehingga terhadap seseorang dapat dilakukan penyelidikan, pentintutan, perampasan, atau pembatasan kemerdekaan, penjatohan pidana, atau tindakan lainnya oleh atau atas kekuasaan musuh; atau
5. memberikan kepada atau menerima dari musuh atau pembantu musuh, sesuatu barang atau uang, atau melakukan sesuatu perbuatan yang menguntungkan musuh atau pembantu musuh, atau menyukarkan atau merintangi atau menggagalkan sesuatu tindakan terhadap musuh atau pembantu musuh.
"
apa isi dari pasal 212 ayat (3) huruf 0,"isi dari pasal tersebut adalah: (3)	dipidana dengan pidana mati, pidana penjara seumur hidup, atau pidana penjara paling lama 20 (dua puluh) tahun, jika setiap orang sebagaimana dimaksud pada ayat (1) yang:"
apa isi dari pasal 212 ayat (3) huruf a,"isi dari pasal tersebut adalah: berkhianat untuk kepentingan musuh, menyerahkan kepada kekuasaan musuh, menghancurkan atau membuat tidak dapat dipakai lagi suatu tempat atau tempat penjagaan yang diperkuat atau diduduki, suatu alat perhubungan, suatu perbekalan perang, atas suatu kas perang, ataupun suatu bagian dari itu atau menghalang-halangi atau menggagalkan suatu usaha tentara yang direncanakan atau diselenggarakan untuk menangkis atau menyerang; atau"
apa isi dari pasal 212 ayat (3) huruf b,"isi dari pasal tersebut adalah: menyebabkan	atau	memudahkan	hurr-hara, pemberontakan, atau desersi di kalangan tentara."
